
21. Printing statistics.

=== fp_network ===

        +----------------------------Count including submodules.
        |        +-------------------Area including submodules.
        |        |        +----------Local count, excluding submodules.
        |        |        |        +-Local area, excluding submodules.
        |        |        |        | 
   162929        -   162929        - wires
   164232        -   164232        - wire bits
     5496        -     5496        - public wires
     6799        -     6799        - public wire bits
       47        -       47        - ports
     1350        -     1350        - port bits
        -        -        -        - memories
        -        -        -        - memory bits
        -        -        -        - processes
   135242 2.25E+05   135242 2.25E+05 cells
    20310 2.16E+04    20310 2.16E+04   AND2_X1
       12    15.96       12    15.96   AND2_X2
        2    4.788        2    4.788   AND2_X4
     1182  1572.06     1182  1572.06   AND3_X1
       12   19.152       12   19.152   AND3_X2
      671 1.07E+03      671 1.07E+03   AND4_X1
       22   40.964       22   40.964   AND4_X2
      782 1.87E+03      782 1.87E+03   AOI211_X2
       22   64.372       22   64.372   AOI211_X4
     8845  9411.08     8845  9411.08   AOI21_X1
       79  147.098       79  147.098   AOI21_X2
       12   41.496       12   41.496   AOI21_X4
     1960  3128.16     1960  3128.16   AOI221_X1
      104  304.304      104  304.304   AOI221_X2
        3   10.374        3   10.374   AOI221_X4
      121  257.488      121  257.488   AOI222_X1
        6   22.344        6   22.344   AOI222_X2
        1    3.724        1    3.724   AOI222_X4
     1368  1819.44     1368  1819.44   AOI22_X1
       18   43.092       18   43.092   AOI22_X2
        1    4.522        1    4.522   AOI22_X4
     9356 7.47E+03     9356 7.47E+03   BUF_X1
      550    585.2      550    585.2   BUF_X2
      125   232.75      125   232.75   BUF_X4
       10    34.58       10    34.58   BUF_X8
      617  492.366      617  492.366   CLKBUF_X1
       12   12.768       12   12.768   CLKBUF_X2
       15    19.95       15    19.95   CLKBUF_X3
     5548 2.51E+04     5548 2.51E+04   DFF_X1
    13608 5.79E+04    13608 5.79E+04   FA_X1
     8583 2.28E+04     8583 2.28E+04   HA_X1
     8345  4439.54     8345  4439.54   INV_X1
       31   24.738       31   24.738   INV_X2
       10     13.3       10     13.3   INV_X4
        2    4.788        2    4.788   INV_X8
        1    0.532        1    0.532   LOGIC1_X1
     7145 1.33E+04     7145 1.33E+04   MUX2_X1
        7   16.758        7   16.758   MUX2_X2
     7258 5.79E+03     7258 5.79E+03   NAND2_X1
       20     26.6       20     26.6   NAND2_X2
        1    2.394        1    2.394   NAND2_X4
     3095  3293.08     3095  3293.08   NAND3_X1
       24   44.688       24   44.688   NAND3_X2
     1491  1983.03     1491  1983.03   NAND4_X1
       34   81.396       34   81.396   NAND4_X2
        4   19.152        4   19.152   NAND4_X4
     8443 6.74E+03     8443 6.74E+03   NOR2_X1
       61    81.13       61    81.13   NOR2_X2
        5    11.97        5    11.97   NOR2_X4
     3716 3.95E+03     3716 3.95E+03   NOR3_X1
       77  143.374       77  143.374   NOR3_X2
        7   26.068        7   26.068   NOR3_X4
     1695  2254.35     1695  2254.35   NOR4_X1
      120   287.28      120   287.28   NOR4_X2
       18   86.184       18   86.184   NOR4_X4
      619 1.48E+03      619 1.48E+03   OAI211_X2
     7646 8.14E+03     7646 8.14E+03   OAI21_X1
       64  119.168       64  119.168   OAI21_X2
        6   20.748        6   20.748   OAI21_X4
     1126  1.8E+03     1126  1.8E+03   OAI221_X1
       11   32.186       11   32.186   OAI221_X2
      136  289.408      136  289.408   OAI222_X1
        2    7.448        2    7.448   OAI222_X2
     1114  1481.62     1114  1481.62   OAI22_X1
       15    35.91       15    35.91   OAI22_X2
      516  960.792      516  960.792   OAI33_X1
     1928 2.05E+03     1928 2.05E+03   OR2_X1
       16    21.28       16    21.28   OR2_X2
        1    2.394        1    2.394   OR2_X4
     1046  1391.18     1046  1391.18   OR3_X1
       32   51.072       32   51.072   OR3_X2
        4   11.704        4   11.704   OR3_X4
      442  705.432      442  705.432   OR4_X1
       67  124.754       67  124.754   OR4_X2
        7   24.206        7   24.206   OR4_X4
     3815  6088.74     3815  6088.74   XNOR2_X1
        4    10.64        4    10.64   XNOR2_X2
     1054 1.68E+03     1054 1.68E+03   XOR2_X1
        4    9.576        4    9.576   XOR2_X2

   Chip area for module '\fp_network': 225305.192000
     of which used for sequential elements: 25088.056000 (11.14%)

